,targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
0,Catalina (C/2013 US10),2456883.952586805,A.D. 2014-Aug-14 10:51:43.5000,8.4,4.704595014079721,6.5,-0.8595101495058246,-1.250441045998258,-0.02051355759598281,-0.01407908244045758,0.0002233461572632153,0.0285497458124922,4.943235251646891,-0.01713172516078194
1,Catalina (C/2013 US10),2456893.952586805,A.D. 2014-Aug-24 10:51:43.5000,8.4,4.51076093517785,6.5,-1.008604475913918,-1.248108971509549,-0.01820210365032379,-0.01567423499551428,0.0002434451743533262,0.02765142011411922,4.787694978580274,-0.01391067745858506
2,Catalina (C/2013 US10),2456903.952586805,A.D. 2014-Sep-03 10:51:43.5000,8.4,4.341423093031654,6.5,-1.171526456058174,-1.24557280291574,-0.01563195238761578,-0.01683162299169083,0.00026348557180737,0.02694876925176202,4.666034753119198,-0.01038878201269352
3,Catalina (C/2013 US10),2456913.952586805,A.D. 2014-Sep-13 10:51:43.5000,8.4,4.198596365621382,6.5,-1.343693638122765,-1.242840026509556,-0.01291347948576767,-0.01752851209502003,0.0002836741268853127,0.02645311942677679,4.580215646237079,-0.006772191923647849
4,Catalina (C/2013 US10),2456923.952586805,A.D. 2014-Sep-23 10:51:43.5000,8.4,4.083544125862613,6.5,-1.520537410160505,-1.239887778778143,-0.01008347845079678,-0.01775540294295631,0.0003069257952801356,0.02616551290464249,4.530418120607419,-0.003213638993961557
5,Catalina (C/2013 US10),2456933.952586805,A.D. 2014-Oct-03 10:51:43.5000,8.4,3.996980262056046,6.5,-1.697037999648598,-1.236704951797025,-0.007238678267539064,-0.017457050346567,0.0003294077500963154,0.02607646739328455,4.515000368252058,6.313254091298045e-05
6,Catalina (C/2013 US10),2456943.952586805,A.D. 2014-Oct-13 10:51:43.5000,8.4,3.938434215804643,6.5,-1.868054597053501,-1.233293382196786,-0.004488521454269582,-0.01666906453109707,0.0003536924367127967,0.02616373845081517,4.530110883451291,0.002875154702742036
7,Catalina (C/2013 US10),2456953.952586805,A.D. 2014-Oct-23 10:51:43.5000,8.4,3.906765321045491,6.5,-2.02879878526843,-1.229622801869729,-0.001876541382243498,-0.01539630505708221,0.0003803944582678018,0.02639785428474746,4.57064678352072,0.005127733034783017
8,Catalina (C/2013 US10),2456963.952586805,A.D. 2014-Nov-02 10:51:43.5000,8.4,3.900042201294448,6.5,-2.174362149382144,-1.225689297598114,0.0004781178664914217,-0.01364292281619109,0.0004063695610134542,0.02674289149426846,4.630388124422178,0.006701652470449416
9,Catalina (C/2013 US10),2456973.952586805,A.D. 2014-Nov-12 10:51:43.5000,8.4,3.915203442364709,6.5,-2.300372261914837,-1.22148269154459,0.002497990601696556,-0.01149808771606099,0.0004356596218752658,0.02715878803313249,4.70239837787428,0.007591418228257215
10,Catalina (C/2013 US10),2456983.952586805,A.D. 2014-Nov-22 10:51:43.5000,8.4,3.948753528790576,6.5,-2.403102763739195,-1.216971521958336,0.004140590774109367,-0.00898978743444371,0.000466449593480397,0.02760708456145952,4.780018515600601,0.007821287609236274
11,Catalina (C/2013 US10),2456993.952586805,A.D. 2014-Dec-02 10:51:43.5000,8.4,3.996397049690196,6.5,-2.479181299420719,-1.212154333780179,0.005302413076226936,-0.006189678962665234,0.0004974988138109019,0.02804955111438154,4.856629224376921,0.007398719833122143
12,Catalina (C/2013 US10),2457003.952586805,A.D. 2014-Dec-12 10:51:43.5000,8.4,4.053147149742617,6.5,-2.526338499806948,-1.207005776427988,0.005965593636092353,-0.003216922599247794,0.0005327175700870648,0.02845124382309809,4.926180160875569,0.006427590960477902
13,Catalina (C/2013 US10),2457013.952586805,A.D. 2014-Dec-22 10:51:43.5000,8.4,4.113969405282126,6.5,-2.543103791652261,-1.201497899898128,0.006105709081286996,-0.0001224097278446633,0.0005687697307659621,0.0287825541118463,4.983544759122074,0.004965667323173272
14,Catalina (C/2013 US10),2457023.952586805,A.D. 2015-Jan-01 10:51:43.5000,8.4,4.173331339438448,6.5,-2.528782524034102,-1.19562403330414,0.005674298556549111,0.002973143714480855,0.0006069071179206182,0.02901642042054138,5.024037455235963,0.003072560969166079
15,Catalina (C/2013 US10),2457033.952586805,A.D. 2015-Jan-11 10:51:43.5000,8.4,4.22573600850059,6.5,-2.484008658380187,-1.189344582957868,0.004722658501785958,0.005960320660592758,0.000649317517871464,0.02913157039918584,5.043975055990806,0.000868156094767482
16,Catalina (C/2013 US10),2457043.952586805,A.D. 2015-Jan-21 10:51:43.5000,8.4,4.266075309337258,6.5,-2.410120492227093,-1.18263573097448,0.003257985162360335,0.00878094927718471,0.0006926071036556566,0.02911153816463252,5.040506582097427,-0.001603695484068444
17,Catalina (C/2013 US10),2457053.952586805,A.D. 2015-Jan-31 10:51:43.5000,8.4,4.289254457510325,6.5,-2.309390506237714,-1.1754769063196,0.001307176897624694,0.01130670520918541,0.0007402333126678397,0.02894262830470563,5.011260746445328,-0.00426537583611501
18,Catalina (C/2013 US10),2457063.952586805,A.D. 2015-Feb-10 10:51:43.5000,8.4,4.290949768642738,6.5,-2.18516687188154,-1.167817832665476,-0.001028111428729791,0.0134773668816315,0.0007918703900145755,0.02861709751245089,4.954896836996227,-0.007020656864147523
19,Catalina (C/2013 US10),2457073.952586805,A.D. 2015-Feb-20 10:51:43.5000,8.4,4.267527286098244,6.5,-2.041160975690664,-1.159634174813333,-0.003711624172130012,0.0152490059025715,0.0008455050862027481,0.0281303192261345,4.870613789418178,-0.009843853744638361
20,Catalina (C/2013 US10),2457083.952586805,A.D. 2015-Mar-02 10:51:43.5000,8.4,4.215859954706331,6.5,-1.881848127230282,-1.150883769087253,-0.006651446199750848,0.01653054508036174,0.000905646694853096,0.02748039992645842,4.758083751007864,-0.01265043622758253
21,Catalina (C/2013 US10),2457093.952586805,A.D. 2015-Mar-12 10:51:43.5000,8.4,4.134025598596535,6.5,-1.712153765230933,-1.141508382321218,-0.009735352734492365,0.01732880534944247,0.0009698566901103295,0.02667056545688406,4.617865259246474,-0.01538002351648532
22,Catalina (C/2013 US10),2457103.952586805,A.D. 2015-Mar-22 10:51:43.5000,8.4,4.020824972310611,6.5,-1.536933030046646,-1.131473185244345,-0.0129137774471892,0.01762581970271184,0.001038490264782281,0.02570555210848631,4.450778377512407,-0.01801679625796637
23,Catalina (C/2013 US10),2457113.952586805,A.D. 2015-Apr-01 10:51:43.5000,8.4,3.875861947349314,6.5,-1.361417218131137,-1.120708542035332,-0.01606328032444688,0.01739518900648817,0.001115537291630429,0.02459296159494556,4.25813930172855,-0.02047639891008305
24,Catalina (C/2013 US10),2457123.952586805,A.D. 2015-Apr-11 10:51:43.5000,8.4,3.699939842447325,6.5,-1.190569727290459,-1.1091458559397,-0.01909984353810679,0.01669979746566135,0.001197833308417248,0.02334425332521092,4.04193216704806,-0.02273148421560207
25,Catalina (C/2013 US10),2457133.952586805,A.D. 2015-Apr-21 10:51:43.5000,8.4,3.494382233415636,6.5,-1.028951619515941,-1.096724620789794,-0.02197545791959907,0.01554562999652404,0.001288412599806405,0.02197146662069321,3.80424151735426,-0.02476167306333257
26,Catalina (C/2013 US10),2457143.952586805,A.D. 2015-May-01 10:51:43.5000,8.4,3.261376265073083,6.5,-0.8810533758840365,-1.083341683723265,-0.02457401009614175,0.01397417690426568,0.001389567616859893,0.02049003764092371,3.547740040819094,-0.02648516081858397
27,Catalina (C/2013 US10),2457153.952586805,A.D. 2015-May-11 10:51:43.5000,8.4,3.00394422461511,6.5,-0.7505452179132258,-1.068906052385028,-0.02686009248534801,0.01207630854299427,0.001499225253108657,0.01891829121200088,3.275600582726201,-0.02788879900365742
28,Catalina (C/2013 US10),2457163.952586805,A.D. 2015-May-21 10:51:43.5000,8.4,2.725337017443586,6.5,-0.6405525216813422,-1.053309897814057,-0.02879301698874666,0.009875650480053667,0.001622728612627608,0.0172756857268426,2.991192259369779,-0.02892016843776137
29,Catalina (C/2013 US10),2457173.952586805,A.D. 2015-May-31 10:51:43.5000,8.4,2.429537546900671,6.5,-0.5537200238953136,-1.036403869221635,-0.03029492114312972,0.007466555531749509,0.001760674775984355,0.01558682987376102,2.698775933048227,-0.02948069859415557
30,Catalina (C/2013 US10),2457183.952586805,A.D. 2015-Jun-10 10:51:43.5000,8.4,2.120825336637899,6.5,-0.4916014488411387,-1.018046723187492,-0.0313789615774631,0.004939686472545613,0.001913919524826459,0.01388047182710429,2.403329195849115,-0.02951160972903283
31,Catalina (C/2013 US10),2457193.952586805,A.D. 2015-Jun-20 10:51:43.5000,8.4,1.803461030279208,6.5,-0.4552069636120375,-0.9980493318612554,-0.03201263385664094,0.002335373361169363,0.002089435172715738,0.01219138941990986,2.110873642898913,-0.02884207467206456
32,Catalina (C/2013 US10),2457203.952586805,A.D. 2015-Jun-30 10:51:43.5000,8.4,1.48215564517439,6.5,-0.4447308583631995,-0.9761828407639149,-0.032174050340468,-0.0002233478943958163,0.002287823920876706,0.01056699514834682,1.829618493430991,-0.02723024240987187
33,Catalina (C/2013 US10),2457213.952586805,A.D. 2015-Jul-10 10:51:43.5000,8.4,1.161376233764439,6.5,-0.4592713277661504,-0.9521985267744179,-0.03191182042197463,-0.002663714313551569,0.002514813790538876,0.009070335133400227,1.570479844904839,-0.02434470223554206
34,Catalina (C/2013 US10),2457223.952586805,A.D. 2015-Jul-20 10:51:43.5000,8.4,0.8454148145933593,6.5,-0.4974187110067552,-0.9257607998381144,-0.03120585368971,-0.004923833276128498,0.002779174281509893,0.007789854698944416,1.348771530434436,-0.01965161201696808
35,Catalina (C/2013 US10),2457233.952586805,A.D. 2015-Jul-30 10:51:43.5000,8.4,0.5386190989997823,6.5,-0.5567132165066654,-0.8964767166859262,-0.03009287998930193,-0.006876852854858692,0.003085416118343514,0.006842735656711135,1.184782951768176,-0.01278391854191788
36,Catalina (C/2013 US10),2457243.952586805,A.D. 2015-Aug-09 10:51:43.5000,8.4,0.244677331259701,6.5,-0.6337659852170958,-0.8638671198622205,-0.02863745520544819,-0.00847124457225566,0.00344725028146368,0.006347272892713287,1.098996233492005,-0.004200301586851206
37,Catalina (C/2013 US10),2457253.952586805,A.D. 2015-Aug-19 10:51:43.5000,8.4,-0.03296529454534378,6.5,-0.7246466416465243,-0.8273000405042611,-0.02683829709930149,-0.009618228289014251,0.003878716162208746,0.006354710260235392,1.100283973759683,0.004222261952269917
38,Catalina (C/2013 US10),2457263.952586805,A.D. 2015-Aug-29 10:51:43.5000,8.4,-0.2912022722651878,6.5,-0.8242468724943378,-0.7860091009920105,-0.0247727131667828,-0.01020344973998673,0.004395799267423373,0.006789592783111325,1.175581548439484,0.01035138199217471
39,Catalina (C/2013 US10),2457273.952586805,A.D. 2015-Sep-08 10:51:43.5000,8.4,-0.527704248259443,6.5,-0.9267191661203192,-0.7390027634673487,-0.02248793012988659,-0.01018323653225964,0.005026909092531954,0.007493510289220889,1.297461086467792,0.01355653530117698
40,Catalina (C/2013 US10),2457283.952586805,A.D. 2015-Sep-18 10:51:43.5000,8.4,-0.7402084718009492,6.5,-1.02548598682262,-0.6849983924392692,-0.01997995369433388,-0.009438245383920267,0.005800232033861443,0.008307020369555494,1.438315990504118,0.01424928172145744
41,Catalina (C/2013 US10),2457293.952586805,A.D. 2015-Sep-28 10:51:43.5000,8.4,-0.9267029410420853,6.5,-1.112733920992209,-0.622407824305348,-0.01728765329369157,-0.007871923382395521,0.00675091252899461,0.009103262396312317,1.576181023746721,0.01305564160001114
42,Catalina (C/2013 US10),2457303.952586805,A.D. 2015-Oct-08 10:51:43.5000,8.4,-1.085066661874764,6.5,-1.180074390078338,-0.5492642344862284,-0.01432514040858372,-0.005444391435518781,0.007914802551602998,0.009787137582651323,1.694590341680416,0.01039850209730164
43,Catalina (C/2013 US10),2457313.952586805,A.D. 2015-Oct-18 10:51:43.5000,8.4,-1.21175709987504,6.5,-1.218495607415905,-0.4633959611460684,-0.01092562764830901,-0.002087208108405621,0.009291075670749212,0.01027948590073319,1.779837810362481,0.006448348146070395
44,Catalina (C/2013 US10),2457323.952586805,A.D. 2015-Oct-28 10:51:43.5000,8.4,-1.301432523156147,6.5,-1.219143404786519,-0.3629819751100997,-0.006877997599597941,0.002061117156936925,0.01080039006191502,0.01051048047042135,1.819833280280881,0.00138370118438136
45,Catalina (C/2013 US10),2457333.952586805,A.D. 2015-Nov-07 10:51:43.5000,8.4,-1.34627841890512,6.5,-1.175982668317328,-0.2476927854847749,-0.001937384092531519,0.006590795378892868,0.0122129124585664,0.01042277461260794,1.804647481746399,-0.004525788627116735
46,Catalina (C/2013 US10),2457343.952586805,A.D. 2015-Nov-17 10:51:43.5000,8.4,-1.337733572902745,6.5,-1.088068441379833,-0.1202365414128468,0.003716371719864362,0.01089836435745204,0.01317565604210063,0.009983265142700802,1.728548776022478,-0.01065279563286055
47,Catalina (C/2013 US10),2457353.952586805,A.D. 2015-Nov-27 10:51:43.5000,8.4,-1.271984814299178,6.5,-0.9607148998792738,0.01350272485665815,0.009360286809203965,0.01441686484072765,0.01345492200169352,0.009206655949459457,1.594083062527268,-0.01604368180822504
48,Catalina (C/2013 US10),2457363.952586805,A.D. 2015-Dec-07 10:51:43.5000,8.4,-1.153247255274708,6.5,-0.8025293572269832,0.1467898476570046,0.01419724091070217,0.01710767836409769,0.01311930982440733,0.008158785639506618,1.412649942620241,-0.01994589097648178
49,Catalina (C/2013 US10),2457373.952586805,A.D. 2015-Dec-17 10:51:43.5000,8.4,-0.992442414267079,6.5,-0.6202335045694105,0.2747032255151373,0.01772984270160918,0.01929217919524269,0.0124266319227058,0.006942868291100951,1.202120379968305,-0.02175145548870885
50,Catalina (C/2013 US10),2457383.952586805,A.D. 2015-Dec-27 10:51:43.5000,8.4,-0.8031529160063559,6.5,-0.4175425167523427,0.3949406354558396,0.01992063775677513,0.02121962776413664,0.01161510509033821,0.005703962446512043,0.9876104825889888,-0.02052645092004135
51,Catalina (C/2013 US10),2457393.952586805,A.D. 2016-Jan-06 10:51:43.5000,8.4,-0.5978785592003191,6.5,-0.196094836855891,0.5070501325854281,0.02095366166701189,0.02306300297501119,0.01081478157326516,0.004667146990045242,0.8080914512280699,-0.0143135339509547
52,Catalina (C/2013 US10),2457403.952586805,A.D. 2016-Jan-16 10:51:43.5000,8.4,-0.3874499230566587,6.5,0.04349677502774205,0.6114637248121761,0.02097816351216793,0.02483511794472108,0.01008163781079851,0.004188335248689093,0.7251877681508462,-0.001217870090231109
53,Catalina (C/2013 US10),2457413.952586805,A.D. 2016-Jan-26 10:51:43.5000,8.4,-0.180986663292234,6.5,0.3000650481005616,0.7089686838249907,0.02019816532460704,0.0264500049601705,0.00943315496121425,0.004567525137741269,0.7908424622045711,0.01386993673872811
54,Catalina (C/2013 US10),2457423.952586805,A.D. 2016-Feb-05 10:51:43.5000,8.4,0.01435630053703406,6.5,0.5718725309716259,0.800386280414995,0.01876943904559533,0.02787354980447012,0.008862708528382958,0.005681955089808943,0.9838000268964999,0.02368689454974206
55,Catalina (C/2013 US10),2457433.952586805,A.D. 2016-Feb-15 10:51:43.5000,8.4,0.1925554745976149,6.5,0.8565561059400442,0.8864624949144142,0.01679188796449139,0.02900260786227311,0.008364138985835766,0.007205712508316529,1.247630445408644,0.02844610473622894
56,Catalina (C/2013 US10),2457443.952586805,A.D. 2016-Feb-25 10:51:43.5000,8.4,0.3489460079148202,6.5,1.150672015119069,0.9678770751042512,0.01443378307676583,0.02975902607937035,0.007927834671325603,0.008914892679195489,1.543565818269577,0.03041830699302811
57,Catalina (C/2013 US10),2457453.952586805,A.D. 2016-Mar-06 10:51:43.5000,8.4,0.4802825514544199,6.5,1.450451928195842,1.045184304949851,0.01179153608592627,0.03012729344742657,0.00754141020071273,0.01069156296769502,1.851186742755065,0.03092266283348435
58,Catalina (C/2013 US10),2457463.952586805,A.D. 2016-Mar-16 10:51:43.5000,8.4,0.5841350754059385,6.5,1.751663405302518,1.118858777562699,0.00896247275200703,0.03003307831094884,0.007200701592739991,0.0124694810894553,2.159023722872125,0.03052291941316529
59,Catalina (C/2013 US10),2457473.952586805,A.D. 2016-Mar-26 10:51:43.5000,8.4,0.6594232159728781,6.5,2.049583171950417,1.18931994247619,0.006095016935367923,0.02947835981693443,0.006896773547664016,0.01420602834217965,2.459697559066544,0.02953209265002631
60,Catalina (C/2013 US10),2457483.952586805,A.D. 2016-Apr-05 10:51:43.5000,8.4,0.7061095871541888,6.5,2.339768432196115,1.256893743913142,0.003251209804330731,0.02848269228704054,0.006622963249816773,0.01587257969335145,2.748251980597943,0.02811349771061093
61,Catalina (C/2013 US10),2457493.952586805,A.D. 2016-Apr-15 10:51:43.5000,8.4,0.7248612859641308,6.5,2.617661928845779,1.321878783069367,0.0005337353063205202,0.02702204029852169,0.006378372675602393,0.0174464073359149,3.020751789662158,0.02633545926292939
62,Catalina (C/2013 US10),2457503.952586805,A.D. 2016-Apr-25 10:51:43.5000,8.4,0.7175679280439249,6.5,2.878909105176208,1.384531652338737,-0.001951532651440808,0.02516743877051657,0.006155372673932851,0.01890981724420661,3.27413336068517,0.02430466658558727
63,Catalina (C/2013 US10),2457513.952586805,A.D. 2016-May-05 10:51:43.5000,8.4,0.6866994463833943,6.5,3.119828778650785,1.445051425277335,-0.004173393429327734,0.02295640273525623,0.005952091035055407,0.02024981180208418,3.506146226194362,0.02206275825176883
64,Catalina (C/2013 US10),2457523.952586805,A.D. 2016-May-15 10:51:43.5000,8.4,0.6353054028492393,6.5,3.336910391889678,1.503639183328131,-0.006037255026584656,0.02041465915901436,0.005767959550141445,0.02145472111198015,3.714769806062072,0.0196403334134503
65,Catalina (C/2013 US10),2457533.952586805,A.D. 2016-May-25 10:51:43.5000,8.4,0.5672992757716185,6.5,3.527388390011968,1.560453033626986,-0.007497848035798589,0.01764895199545291,0.00559692953087807,0.0225166054145138,3.898629373566803,0.01711753641472342
66,Catalina (C/2013 US10),2457543.952586805,A.D. 2016-Jun-04 10:51:43.5000,8.4,0.48670249997162,6.5,3.689272923913362,1.615625920836394,-0.008547893046708988,0.0146983016601608,0.005440270210465155,0.02343028998041521,4.056828952109925,0.01450768757819829
67,Catalina (C/2013 US10),2457553.952586805,A.D. 2016-Jun-14 10:51:43.5000,8.4,0.397966340280533,6.5,3.820956337378209,1.669299734668409,-0.009117756674162978,0.0116310136176211,0.005295905041208855,0.02419152649289244,4.188632968441016,0.01185434202314373
68,Catalina (C/2013 US10),2457563.952586805,A.D. 2016-Jun-24 10:51:43.5000,8.4,0.3058920530802611,6.5,3.921873583323087,1.721571994318345,-0.009223063404159822,0.008554755924013889,0.005160182943698879,0.02480010025059056,4.294004248172837,0.009225197186999991
69,Catalina (C/2013 US10),2457573.952586805,A.D. 2016-Jul-04 10:51:43.5000,8.4,0.2150175256933969,6.5,3.992121305273673,1.772542374584885,-0.008870577490785634,0.005502992399490128,0.005035745761836625,0.02525769042951885,4.373233531618717,0.00662835773990455
70,Catalina (C/2013 US10),2457583.952586805,A.D. 2016-Jul-14 10:51:43.5000,8.4,0.1301207336774571,6.5,4.03234767845376,1.822310423276774,-0.008032463245973188,0.002573067108994037,0.004918713651245053,0.02556772747316557,4.426914781656335,0.004132389086014343
71,Catalina (C/2013 US10),2457593.952586805,A.D. 2016-Jul-24 10:51:43.5000,8.4,0.05576803224146206,6.5,4.044273081250896,1.870938155047243,-0.006772333559317579,-0.0001523682865664119,0.004808301158361739,0.02573812580749392,4.456418338661921,0.001795642781700051
72,Catalina (C/2013 US10),2457603.952586805,A.D. 2016-Aug-03 10:51:43.5000,8.4,-0.003969721502118691,6.5,4.030057426002504,1.918507896751394,-0.005104925336284909,-0.002644417187727848,0.00470674268505146,0.02577852072765395,4.463412502274934,-0.0003600305781529215
73,Catalina (C/2013 US10),2457613.952586805,A.D. 2016-Aug-13 10:51:43.5000,8.4,-0.04505062259752268,6.5,3.992525942905727,1.965085327374185,-0.003056468160943542,-0.004798978767098239,0.004609359264870066,0.02570193476783835,4.45015205439466,-0.002239152067548054
74,Catalina (C/2013 US10),2457623.952586805,A.D. 2016-Aug-23 10:51:43.5000,8.4,-0.06415141832072914,6.5,3.935349246637252,2.01071479152439,-0.0007201022619984304,-0.006574081198935878,0.004517935274948031,0.02552626417158466,4.419735633534649,-0.003787744791931164
75,Catalina (C/2013 US10),2457633.952586805,A.D. 2016-Sep-02 10:51:43.5000,8.4,-0.05855721659758194,6.5,3.862380705288508,2.055466391820894,0.001880263498748749,-0.007943278307931756,0.004432870938219528,0.02527167505017411,4.37565489362516,-0.004954332817481196
76,Catalina (C/2013 US10),2457643.952586805,A.D. 2016-Sep-12 10:51:43.5000,8.4,-0.02593635252647116,6.5,3.77812271865583,2.099379241039306,0.004663725376125575,-0.008825298339001593,0.004350275746426497,0.02496352280333794,4.322299986038969,-0.005629211684215431
77,Catalina (C/2013 US10),2457653.952586805,A.D. 2016-Sep-22 10:51:43.5000,8.4,0.03496983929479196,6.5,3.687475224988622,2.142492008610189,0.007528113471043469,-0.009226867579677339,0.004273497579039951,0.02463173486768116,4.264852685793931,-0.005769168617730852
78,Catalina (C/2013 US10),2457663.952586805,A.D. 2016-Oct-02 10:51:43.5000,8.4,0.1247914907499448,6.5,3.595252040330166,2.184861460202784,0.01043530645022712,-0.009128327722406465,0.004200542020483015,0.02430870983577564,4.208922635300067,-0.005307486258017103
79,Catalina (C/2013 US10),2457673.952586805,A.D. 2016-Oct-12 10:51:43.5000,8.4,0.2434169110770662,6.5,3.506683406382241,2.226508896159253,0.01326653457237707,-0.008500750259463744,0.004129603124624747,0.02403158558348943,4.160940058432848,-0.004178272859407603
80,Catalina (C/2013 US10),2457683.952586805,A.D. 2016-Oct-22 10:51:43.5000,8.4,0.3895598679470929,6.5,3.426798409051445,2.267473608955565,0.01593370458526435,-0.007400664067911882,0.004064156868181103,0.02383837113558312,4.127486013822754,-0.002407781280218213
81,Catalina (C/2013 US10),2457693.952586805,A.D. 2016-Nov-01 10:51:43.5000,8.4,0.561387281641121,6.5,3.360261885853018,2.307796064809874,0.01838509505905178,-0.005827477605074988,0.004000401940188098,0.02376570584843028,4.114904409370506,-6.945603351529409e-06
82,Catalina (C/2013 US10),2457703.952586805,A.D. 2016-Nov-11 10:51:43.5000,8.4,0.7561249611724129,6.5,3.311696940303809,2.347489376178995,0.02049826532552167,-0.003822322989678477,0.003939052632286464,0.02384790335081292,4.129136465727289,0.002927430234002708
83,Catalina (C/2013 US10),2457713.952586805,A.D. 2016-Nov-21 10:51:43.5000,8.4,0.970060427073019,6.5,3.284911332861216,2.386594346162841,0.0222245802199343,-0.00148155589963619,0.003882245730594585,0.02411062209337056,4.174624805904068,0.00621798435371394
